사고년도,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2021,서울특별시 양천구1,서울특별시 양천구 목동(목동5단지교차로 부근),6,6,0,1,3,2,126.8798299,37.53547404
2021,서울특별시 양천구2,서울특별시 양천구 신월동(월정초교앞교차로 부근),5,7,0,1,3,3,126.8339673,37.5369496
2021,서울특별시 양천구3,서울특별시 양천구 신정동(신정네거리역앞교차로 부근),5,5,0,0,5,0,126.8522391,37.52145503
2021,서울특별시 양천구4,서울특별시 양천구 신월동(강월초교입구교차로 부근),4,4,1,0,2,1,126.8391555,37.51723925
2021,서울특별시 양천구5,서울특별시 양천구 목동(오목교역교차로 부근),4,5,0,1,3,1,126.8775597,37.52428913
2021,서울특별시 강서구1,서울특별시 강서구 화곡동(조흥은행등촌동지점 부근),10,10,0,3,5,2,126.8538268,37.55526945
2021,서울특별시 강서구2,서울특별시 강서구 내발산동(발산역앞교차로 부근),4,4,0,3,1,0,126.8384992,37.55823778
2021,서울특별시 구로구1,서울특별시 구로구 구로동(이화우성아파트앞교차로 부근),6,6,0,2,3,1,126.8921887,37.49134523
2021,서울특별시 구로구2,서울특별시 구로구 구로동(디지털단지입구교차로 부근),5,5,0,0,3,2,126.9000038,37.4829791
2021,서울특별시 구로구3,서울특별시 구로구 가리봉동(햇살무리예능선교원 부근),4,4,0,3,1,0,126.887049,37.48243582
2021,서울특별시 구로구4,서울특별시 구로구 구로동(거리공원오거리 부근),4,4,0,2,2,0,126.8939348,37.49777541
2021,서울특별시 구로구5,서울특별시 구로구 궁동(온수입구삼거리 부근),4,4,0,1,3,0,126.8370488,37.49315239
2021,서울특별시 구로구6,서울특별시 구로구 구로동(대림역 부근),4,4,0,0,4,0,126.8956652,37.49221391
2021,서울특별시 금천구1,서울특별시 금천구 가산동(금천구광명시 부근),5,5,0,2,3,0,126.8733549,37.48442714
2021,서울특별시 영등포구1,서울특별시 영등포구 양평동6가(강서구영등포구 부근),12,16,0,5,9,2,126.8777439,37.55388132
2021,서울특별시 영등포구2,서울특별시 영등포구 양화동(롯데1급정비공장 부근),10,13,0,4,6,3,126.8952241,37.54249107
2021,서울특별시 영등포구3,서울특별시 영등포구 양평동4가(양평동사거리 부근),6,6,0,0,4,2,126.8980095,37.53611371
2021,서울특별시 영등포구4,서울특별시 영등포구 여의도동(여의하류IC 부근),5,8,0,3,4,1,126.9089703,37.53358118
2021,서울특별시 영등포구5,서울특별시 영등포구 문래동6가(관악고등학교 부근),5,7,0,3,3,1,126.8818701,37.52018246
2021,서울특별시 영등포구6,서울특별시 영등포구 양평동(오목교 부근),5,7,0,2,3,2,126.8814356,37.52355509
2021,서울특별시 영등포구7,서울특별시 영등포구 신길동(보라매역앞교차로 부근),5,5,0,2,3,0,126.9196426,37.50008578
2021,서울특별시 영등포구8,서울특별시 영등포구 여의도동(여의교앞교차로 부근),5,5,0,2,2,1,126.9288888,37.51720061
2021,서울특별시 영등포구9,서울특별시 영등포구 여의도동(당산지하차도북측 부근),4,8,0,2,5,1,126.9052931,37.53674175
2021,서울특별시 영등포구10,서울특별시 영등포구 여의도동(빛의카페 부근),4,4,0,2,1,1,126.9275383,37.53054374
2021,서울특별시 영등포구11,서울특별시 영등포구 대림동(성락빌딩 부근),4,4,0,1,3,0,126.8985238,37.50103031
2021,서울특별시 영등포구12,서울특별시 영등포구 대림동(구로1교교차로 부근),4,4,0,0,3,1,126.899476,37.48917793
2021,서울특별시 영등포구13,서울특별시 영등포구 문래동3가(청과시장입구교차로 부근),4,4,0,0,3,1,126.9026931,37.51508515
