사고년도,지역,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2018,,서울특별시 종로구1,서울특별시 종로구 종로6가(동대문역 1번출구 부근),6,11,1,3,5,2,127.0105525,37.57175837
2018,,서울특별시 종로구2,서울특별시 종로구 종로5가(종로5가역 부근),4,4,0,1,1,2,127.0040001,37.57111811
2018,,서울특별시 종로구3,서울특별시 종로구 관철동(관수파출소 부근),4,4,0,0,4,0,126.9877587,37.56929816
2018,,서울특별시 용산구1,서울특별시 용산구 서빙고동(반포대교북단교차로 부근),5,5,0,3,2,0,126.9941228,37.51957302
2018,,서울특별시 용산구2,서울특별시 용산구 한강로1가(삼각지역6호선 부근),4,4,0,2,2,0,126.9740478,37.53566508
2018,,서울특별시 성동구1,서울특별시 성동구 마장동(고산자교 부근),7,7,1,1,4,1,127.0377653,37.57225254
2018,,서울특별시 성동구2,서울특별시 성동구 성수동1가(대림공인중개사사무소 부근),5,5,0,1,3,1,127.0462429,37.54125043
2018,,서울특별시 성동구3,서울특별시 성동구 송정동(성동세무서 부근),4,5,1,0,4,0,127.0626228,37.54827528
2018,,서울특별시 성동구4,서울특별시 성동구 상왕십리동(황학교 부근),4,4,0,2,2,0,127.0235327,37.57173702
2018,,서울특별시 성동구5,서울특별시 성동구 하왕십리동(무학교 부근),4,4,0,1,2,1,127.0300224,37.56939483
2018,,서울특별시 광진구1,서울특별시 광진구 자양동(우신빌딩 부근),7,7,0,2,3,2,127.0600141,37.53778022
2018,,서울특별시 광진구2,서울특별시 광진구 자양동(자양현대홈타운7차아파트후문 부근),6,6,0,0,5,1,127.0699612,37.53338313
2018,,서울특별시 광진구3,서울특별시 광진구 자양동(건대입구역2호선 부근),5,5,0,0,3,2,127.068804,37.54061792
2018,,서울특별시 광진구4,서울특별시 광진구 자양동(광영빌딩 부근),4,4,0,1,2,1,127.0838271,37.535923
2018,,서울특별시 동대문구1,서울특별시 동대문구 용두동(제기동역 4번출구 부근),9,9,0,3,5,1,127.0355742,37.57816476
2018,,서울특별시 동대문구2,서울특별시 동대문구 장안동(장안동사거리 부근),7,8,0,1,5,2,127.0714063,37.57218634
2018,,서울특별시 동대문구3,서울특별시 동대문구 전농동(성바오로병원교차로 부근),6,6,0,3,2,1,127.0417161,37.57913912
2018,,서울특별시 동대문구4,서울특별시 동대문구 장안동(양지쉐르빌아파트 부근),5,5,0,4,1,0,127.0611121,37.56264622
2018,,서울특별시 동대문구5,서울특별시 동대문구 휘경동(중랑교서단 부근),5,7,0,2,4,1,127.0694427,37.59267377
2018,,서울특별시 동대문구6,서울특별시 동대문구 장안동(샛별어린이공원 부근),5,5,0,2,3,0,127.0672658,37.56775303
2018,,서울특별시 동대문구7,서울특별시 동대문구 답십리동(조성종의원 부근),4,4,1,0,3,0,127.0644562,37.57006104
2018,,서울특별시 동대문구8,서울특별시 동대문구 휘경동(동대문구견인차량보관소 부근),4,4,0,0,4,0,127.0688137,37.58891473
2018,,서울특별시 동대문구9,서울특별시 동대문구 답십리동(답십리우리한의원 부근),4,4,0,0,4,0,127.0570499,37.56802939
2018,,서울특별시 동대문구10,서울특별시 동대문구 청량리동(영휘원사거리 부근),4,4,0,0,4,0,127.043108,37.58686023
2018,,서울특별시 중랑구1,서울특별시 중랑구 면목동(면목2동사거리 부근),11,11,0,2,6,3,127.0796863,37.58598664
2018,,서울특별시 중랑구2,서울특별시 중랑구 중화동(이화교옆 중랑천로 부근),9,11,0,4,4,3,127.0739527,37.6014299
2018,,서울특별시 중랑구3,서울특별시 중랑구 면목동(면목역 부근),9,9,0,3,4,2,127.0874896,37.58895867
2018,,서울특별시 중랑구4,"서울특별시 중랑구 면목동(
면목두산2단지아파트정문 부근)",9,9,0,1,5,3,127.0840864,37.58094567
2018,,서울특별시 중랑구5,서울특별시 중랑구 상봉동(상봉역 3번출구 부근),7,7,1,2,2,2,127.0861503,37.59399147
2018,,서울특별시 중랑구6,서울특별시 중랑구 상봉동(동일로지하차도사거리 부근),7,7,0,1,3,3,127.080165,37.59470334
2018,,서울특별시 중랑구7,서울특별시 중랑구 면목동(면목동동원베네스트아파트 102동 부근),6,6,0,3,1,2,127.0835477,37.58453695
2018,,서울특별시 중랑구8,서울특별시 중랑구 상봉동(코스트코코리아상봉점 부근),6,6,0,0,5,1,127.0893022,37.59748393
2018,,서울특별시 중랑구9,서울특별시 중랑구 망우동(신내지하차도사거리 부근),5,12,0,3,7,2,127.0979765,37.59941094
2018,,서울특별시 중랑구10,서울특별시 중랑구 중화동(봉화공원 부근),5,5,0,1,4,0,127.0768095,37.59815205
